,,,,,,,,,,,,,,,,,,,South Area,14,n.miles,,,,,Sesulu,40,n.miles,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,North Area,125,n.miles,,,,,Makassar,126,n.miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Go Back,,,Sapi,70,n.miles,,,,,Ganal,50-165,n.miles,,,,,,,,,,,,,Go Back,,,,,,,,,,,Go Back,,,,,,,,,,,,,,,,,,,,Inactive:,0,,,,,Go Back,,,,,,,,,,,,,,,,,,,,,,,,,,,Go Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go Back,,,,,,,,,,,,,,,,,,,,,,,,Go Back,,,,,,,,,,,,,,,,,,,,,,Go Back,
,,,,,,,,,,,,,,,,,,,Santan Terminal,125,n.miles,,,,,Rapak,50-165,n.miles,,,,,,,,,,,,,,,,,,Go Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTROL TEMPLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of Active Rigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Distance of Operating Area,,,,,,,,,,,,,,,,,,,,Month:,25 Nov - 24 Dec 2025,,,,,FUEL PRICE FOR:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AHTS, PSV, and RIV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES OF ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,Exchange Rate,
,,,,,,,,,,,,,,,DATE,RUN EXPLOSIVE,ASSET,TIRTA RAJAWALI,S: SLICKLINE UNIT,N: SLICKLINE (1),LAIN-LAIN,SOIL BORING,"N: SLICKLINE
(2)",DEBRIS SURVEY,"STORK
(WLI)",-,-,-,"SOUTH
OSF","NORTH
OSF",-," P_NORTH
ATTAKA","P_NORTH
NIB","P_NORTH
SANTAN
TERMINAL","P_NORTH
SECURITY PATROL",P_SOUTH,P_SOUTH SECURITY PATROL,"Total
Distance",,Fuel Type,Date,Pertamina Fuel Price,Fuel Price in USD,, This Month's Period:,25 Nov - 24 Dec 2025,,,Period,,DATE,RUN EXPLOSIVE,,,ASSET,TIRTA RAJAWALI,S: SLICKLINE UNIT,N: SLICKLINE (1),LAIN-LAIN,SOIL BORING,"N: SLICKLINE
(2)",DEBRIS SURVEY,"STORK
(WLI)",-,"SOUTH
OSF","NORTH
OSF",-," P_NORTH
ATTAKA","P_NORTH
NIB","P_NORTH
SANTAN
TERMINAL","P_NORTH
SECURITY PATROL",P_SOUTH,P_SOUTH SECURITY PATROL,"Number
of Rig",,DATE,DAY,STANDBY TIME,"LOAD/
DISCH.
IN PORT","STEAMING
TIME","TIME AT RIG
RUN EXPLOSIVE","TIME AT RIG
ASSET","TIME AT RIG
'TIRTA RAJAWALI","TIME AT RIG
S: SLICKLINE UNIT","TIME AT RIG
N: SLICKLINE (1)","TIME AT RIG
LAIN-LAIN","TIME AT RIG
SOIL BORING","TIME AT RIG
N: SLICKLINE
(2)","TIME AT RIG
DEBRIS SURVEY","TIME AT RIG
STORK
(WLI)","TIME AT RIG
-","TIME AT RIG
-","TIME AT RIG
-","TIME AT
SOUTH
OSF","TIME AT
NORTH
OSF","TIME AT PF
-","TIME AT PF
P_NORTH
ATTAKA","TIME AT PF
P_NORTH
NIB","TIME AT PF
P_NORTH
SANTAN
TERMINAL","TIME AT PF
P_NORTH
SECURITY PATROL","TIME AT PF
P_SOUTH","TIME AT PF
P_SOUTH SECURITY PATROL","DOWN
TIME","TOTAL
HOURS
PER DAY","24-HR FUEL
CONSUMED
LITERS","TOTAL
DAILY
FUEL COST","TOTAL
DAILY
COST","DAILY
FUEL
RUN EXPLOSIVE","DAILY
FUEL
ASSET","DAILY
FUEL
'TIRTA RAJAWALI","DAILY
FUEL 
S: SLICKLINE UNIT","DAILY
FUEL
N: SLICKLINE (1)","DAILY
FUEL
LAIN-LAIN","DAILY
FUEL
SOIL BORING","DAILY
FUEL
N: SLICKLINE
(2)","DAILY
FUEL
DEBRIS SURVEY","DAILY
FUEL
STORK
(WLI)","DAILY
FUEL
-","DAILY
FUEL
-","DAILY
FUEL
-","DAILY FUEL
SOUTH
OSF","DAILY FUEL
NORTH
OSF","DAILY FUEL  
-","DAILY FUEL 
P_NORTH
ATTAKA","DAILY FUEL
P_NORTH
NIB","DAILY FUEL
P_NORTH
SANTAN
TERMINAL","DAILY FUEL
P_NORTH
SECURITY PATROL","DAILY FUEL
P_SOUTH","DAILY FUEL
P_SOUTH SECURITY PATROL","DAILY
HIRE RATE
RUN EXPLOSIVE","DAILY
HIRE RATE
ASSET","DAILY
HIRE RATE
'TIRTA RAJAWALI","DAILY
HIRE RATE
S: SLICKLINE UNIT","DAILY
HIRE RATE
N: SLICKLINE (1)","DAILY
HIRE RATE
LAIN-LAIN","DAILY
HIRE RATE
SOIL BORING","DAILY
HIRE RATE
N: SLICKLINE
(2)","DAILY
HIRE RATE
DEBRIS SURVEY","DAILY
HIRE RATE
STORK
(WLI)","DAILY
HIRE RATE
-","DAILY
HIRE RATE
-","DAILY
HIRE RATE
-","DAILY HIRE RATE
SOUTH
OSF","DAILY HIRE RATE
NORTH
OSF","DAILY HIRE RATE
-","DAILY HIRE RATE 
P_NORTH
ATTAKA","DAILY HIRE RATE
P_NORTH
NIB","DAILY HIRE RATE
P_NORTH
SANTAN
TERMINAL","DAILY HIRE RATE
P_NORTH
SECURITY PATROL","DAILY HIRE RATE
P_SOUTH","DAILY HIRE RATE
P_SOUTH SECURITY PATROL","MOB/
DEMOB
RUN EXPLOSIVE","MOB/
DEMOB
ASSET","MOB/
DEMOB
'TIRTA RAJAWALI","MOB/
DEMOB
S: SLICKLINE UNIT","MOB/
DEMOB
N: SLICKLINE (1)","MOB/
DEMOB
LAIN-LAIN","MOB/
DEMOB
SOIL BORING","MOB/
DEMOB
N: SLICKLINE
(2)","MOB/
DEMOB
DEBRIS SURVEY","MOB/
DEMOB
STORK
(WLI)","MOB/
DEMOB
-","MOB/
DEMOB
-","MOB/
DEMOB
-","MOB/DEMOB
SOUTH
OSF","MOB/DEMOB
NORTH
OSF","MOB/DEMOB 
-","MOB/DEMOB 
P_NORTH
ATTAKA","MOB/DEMOB
P_NORTH
NIB","MOB/DEMOB
P_NORTH
SANTAN
TERMINAL","MOB/DEMOB
P_NORTH
SECURITY PATROL","MOB/DEMOB
P_SOUTH","MOB/DEMOB
P_SOUTH SECURITY PATROL","TOTAL
DAILY COST
RUN EXPLOSIVE","TOTAL
DAILY COST
ASSET","TOTAL
DAILY COST
'TIRTA RAJAWALI","TOTAL
DAILY COST
S: SLICKLINE UNIT","TOTAL
DAILY COST
N:
SLICKLINE (1)","TOTAL
DAILY COST
LAIN-LAIN","TOTAL
DAILY COST
SOIL BORING","TOTAL
DAILY COST
N: SLICKLINE
(2)","TOTAL
DAILY COST
DEBRIS SURVEY","TOTAL
DAILY COST
STORK
(WLI)","TOTAL
DAILY COST
-","TOTAL
DAILY COST
-","TOTAL
DAILY COST
-","TOTAL
DAILY COST
SOUTH
OSF","TOTAL
DAILY COST
NORTH
OSF","TOTAL
DAILY COST 
-","TOTAL
DAILY COST 
P_NORTH
ATTAKA","TOTAL
DAILY COST
P_NORTH
NIB","TOTAL
DAILY COST
P_NORTH
SANTAN
TERMINAL","TOTAL
DAILY COST
P_NORTH
SECURITY PATROL","TOTAL
DAILY COST
P_SOUTH","TOTAL
DAILY COST
P_SOUTH SECURITY PATROL",,RUN EXPLOSIVE,ASSET,TIRTA RAJAWALI,S: SLICKLINE UNIT,N: SLICKLINE (1),LAIN-LAIN,SOIL BORING,"N: SLICKLINE
(2)",DEBRIS SURVEY,"STORK
(WLI)",-,-,-,"SOUTH
OSF","NORTH
OSF",-," P_NORTH
ATTAKA","P_NORTH
NIB","P_NORTH
SANTAN
TERMINAL","P_NORTH
SECURITY PATROL",P_SOUTH,P_SOUTH SECURITY PATROL,,Date,Exchange Rate reer to JISDOR
,Distance of Operating Area,,,,,,,,,,,,,1.0,2025-11-25 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,Solar (HSD),2025-11-25 00:00:00,16150,1.033335466120673,,This month's number of days:,30,,,2025-11-25 00:00:00,,2025-11-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,2025-11-25 00:00:00,15629
,Fuel Price at Current Month,,,,,,,,,,,,,2.0,2025-11-26 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-26 00:00:00,16150,1.033335466120673,,Todate:,2025-12-31 00:00:00,,,2025-11-26 00:00:00,,2025-11-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-26 00:00:00,15629
,What Month Is It ?,,,,,,,,,,,,,3.0,2025-11-27 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-27 00:00:00,16150,1.033335466120673,,This month's end date:,2025-11-30 00:00:00,,,2025-11-27 00:00:00,,2025-11-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-27 00:00:00,15629
,"Names of Rig, Platform, Etc.",,,,,,,,,,,,,4.0,2025-11-28 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-28 00:00:00,16150,1.026765846525526,,Calendar Month:,2025-12-01 00:00:00,,,2025-11-28 00:00:00,,2025-11-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-28 00:00:00,15729
,Currency Exchange,,,,,,,,,,,,,5.0,2025-11-29 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-29 00:00:00,16150,1.024746192893401,,,,,,2025-11-29 00:00:00,,2025-11-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-29 00:00:00,15760
,,,,,,,,,,,,,,6.0,2025-11-30 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-30 00:00:00,16150,1.0265700483091786,,,,,,2025-11-30 00:00:00,,2025-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-30 00:00:00,15732
,,,,,,,,,,,,,,7.0,2025-12-01 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-01 00:00:00,16100,1.0251512257242916,,,,,,2025-12-01 00:00:00,,2025-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-01 00:00:00,15705
,,,,,,,,,,,,,,8.0,2025-12-02 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-02 00:00:00,16100,1.0239776124149336,,,,,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02 00:00:00,15723
